label,score,x1,y1,x2,y2
traffic_light,0.6722003,518.495,450.08133,536.92755,475.8731
fire_alarm,0.5702428,116.27036,292.3838,130.00562,302.26938
lightbulb,0.55228925,609.3567,269.07465,624.90393,274.5095
lightbulb,0.495003,250.44101,301.10107,268.92972,307.28693
lightbulb,0.43106568,363.76117,73.754585,400.1883,105.345116
airplane,0.41806352,37.852478,7.2021976,617.34985,458.6989
lamp,0.3880657,232.68445,336.26596,249.51328,357.12094
lightbulb,0.36895132,235.46045,353.19223,247.4967,356.12082
lamp,0.34769285,247.07234,276.00464,268.6996,308.40027
lightbulb,0.3293942,213.00487,385.8291,222.70184,389.81573
speaker_(stero_equipment),0.31505948,523.68866,320.21967,548.82605,366.28738
